hand,height,player,age,ace,df,bpSaved
L,180.0,100282 - Guillermo Vilas,36 ~ 40,0.0,2.5,0.405
L,178.0,100284 - Jimmy Connors,36 ~ 40,1.835820895522388,2.4776119402985075,0.5459701492537314
L,178.0,100284 - Jimmy Connors,41 +,1.5454545454545454,2.727272727272727,0.5645454545454546
R,168.0,100286 - Harold Solomon,36 ~ 40,0.0,2.0,0.53
R,193.0,100321 - Vijay Amritraj,36 ~ 40,0.0,0.0,0.25
R,178.0,100431 - Mansour Bahrami,36 ~ 40,4.0,2.0,0.56
R,180.0,100437 - Bjorn Borg,31 ~ 35,0.0,3.0,0.4
R,180.0,100437 - Bjorn Borg,36 ~ 40,4.090909090909091,4.2727272727272725,0.48454545454545456
R,185.0,100529 - Kevin Curren,31 ~ 35,7.615384615384615,3.6923076923076925,0.5293846153846153
R,175.0,100532 - Johan Kriek,31 ~ 35,4.818181818181818,5.818181818181818,0.6245454545454545
R,175.0,100536 - Fernando Luna,31 ~ 35,0.3333333333333333,0.3333333333333333,0.49666666666666665
R,183.0,100553 - Nduka Odizor,31 ~ 35,4.333333333333333,5.666666666666667,0.35333333333333333
L,180.0,100581 - John McEnroe,31 ~ 35,5.451612903225806,3.935483870967742,0.5795698924731183
R,188.0,100587 - Steve Guy,31 ~ 35,4.0,7.0,0.64
R,188.0,100606 - Mike Bauer,36 ~ 40,1.0,8.0,0.57
R,185.0,100607 - Eduardo Bengoechea,31 ~ 35,1.0,2.0,0.5366666666666667
R,190.0,100619 - George Kalovelonis,31 ~ 35,6.0,1.6666666666666667,0.5566666666666666
R,201.0,100628 - Michiel Schapers,31 ~ 35,3.921875,3.265625,0.56734375
L,180.0,100631 - Tim Wilkison,31 ~ 35,0.0,9.0,0.17
R,198.0,100644 - Alexander Zverev,- 20,7.137254901960785,3.823529411764706,0.5730065359477124
R,198.0,100644 - Alexander Zverev,21 ~ 25,9.382470119521912,4.386454183266932,0.5060159362549801
R,180.0,100652 - Cassio Motta,31 ~ 35,3.15,2.4,0.585
L,193.0,100653 - Andres Gomez,31 ~ 35,5.6923076923076925,3.3846153846153846,0.5519999999999999
R,188.0,100656 - Ivan Lendl,31 ~ 35,6.862385321100917,2.669724770642202,0.5863761467889909
R,193.0,100676 - Yannick Noah,31 ~ 35,4.277777777777778,3.1666666666666665,0.5933333333333333
R,193.0,100676 - Yannick Noah,36 ~ 40,7.0,2.0,0.5
R,190.0,100689 - Tim Mayotte,26 ~ 30,4.714285714285714,7.285714285714286,0.5885714285714286
R,190.0,100689 - Tim Mayotte,31 ~ 35,7.7894736842105265,5.7368421052631575,0.525263157894737
R,170.0,100711 - Pedro Rebolledo,26 ~ 30,0.125,1.5,0.43124999999999997
R,170.0,100711 - Pedro Rebolledo,31 ~ 35,0.3333333333333333,1.3333333333333333,0.5333333333333333
R,183.0,100713 - John Fitzgerald,26 ~ 30,0.75,3.5,0.39875000000000005
R,183.0,100713 - John Fitzgerald,31 ~ 35,2.25,4.392857142857143,0.5439285714285714
L,183.0,100714 - Broderick Dyke,26 ~ 30,5.5,11.5,0.65
L,183.0,100714 - Broderick Dyke,31 ~ 35,2.0,3.3333333333333335,0.43333333333333335
L,190.0,100727 - Raul Antonio Viver,26 ~ 30,0.0,1.0,0.5
L,190.0,100727 - Raul Antonio Viver,31 ~ 35,0.6666666666666666,1.1666666666666667,0.4483333333333333
R,185.0,100728 - Todd Nelson,26 ~ 30,4.6,6.4,0.6
R,185.0,100728 - Todd Nelson,31 ~ 35,3.75,3.0,0.5575
R,190.0,100744 - Peter Doohan,26 ~ 30,7.0,8.0,0.43
R,190.0,100744 - Peter Doohan,31 ~ 35,1.0,4.0,0.4
L,185.0,100747 - Glenn Layendecker,26 ~ 30,6.571428571428571,4.714285714285714,0.54
L,185.0,100747 - Glenn Layendecker,31 ~ 35,4.0,2.6666666666666665,0.6983333333333333
R,170.0,100752 - Ramesh Krishnan,26 ~ 30,0.6538461538461539,2.6153846153846154,0.5230769230769231
R,170.0,100752 - Ramesh Krishnan,31 ~ 35,0.7272727272727273,2.909090909090909,0.5627272727272726
R,180.0,100757 - Anders Jarryd,26 ~ 30,2.911111111111111,2.7555555555555555,0.5922222222222223
R,180.0,100757 - Anders Jarryd,31 ~ 35,3.864864864864865,3.972972972972973,0.5093693693693694
L,180.0,100759 - Danie Visser,26 ~ 30,7.333333333333333,1.3333333333333333,0.7033333333333335
R,185.0,100763 - Brad Gilbert,26 ~ 30,5.416666666666667,2.8333333333333335,0.5540277777777778
R,185.0,100763 - Brad Gilbert,31 ~ 35,5.5851851851851855,3.9555555555555557,0.5652592592592592
R,190.0,100768 - Nick Brown,26 ~ 30,5.4,5.8,0.6439999999999999
R,193.0,100770 - Peter Moraing,31 ~ 35,9.0,6.666666666666667,0.7133333333333334
R,175.0,100772 - Kelly Evernden,26 ~ 30,3.5217391304347827,2.0,0.5130434782608695
R,175.0,100772 - Kelly Evernden,31 ~ 35,3.3333333333333335,1.5,0.6900000000000001
R,180.0,100782 - Pablo Arraya,26 ~ 30,3.71875,2.84375,0.5678125
R,180.0,100782 - Pablo Arraya,31 ~ 35,2.0,1.0,0.51
L,180.0,100790 - Bruce Derlin,26 ~ 30,0.3333333333333333,0.3333333333333333,0.3133333333333333
R,178.0,100800 - Diego Perez,26 ~ 30,2.3793103448275863,2.0344827586206895,0.4789655172413793
R,178.0,100800 - Diego Perez,31 ~ 35,2.0,3.3684210526315788,0.4905263157894737
